track_name,artist_name,album_name,track_duration,track_popularity,track_release_date,track_explicit,artist_genre,artist_popularity,artist_follower_count,artist_ranking,my_top_songs
Hard Times,Paramore,After Laughter,182,85,201705,0,"pop punk, emo",82,9474638,1,1
You First,Paramore,This Is Why,245,60,202302,0,"pop punk, emo",82,9474638,1,1
again&again,Against The Current,fever,196,52,202107,0,pop punk,64,532952,12,1
Plagued,We Came As Romans,Darkbloom,209,60,202210,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Cry,The Used,Imaginary Enemy,210,52,201404,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,221,69,200406,0,"emo, pop punk",81,9823059,31,1
This Is The Time (Ballast),NOTHING MORE,Nothing More,220,68,201406,0,,67,545705,11,1
Lonely Girl,Tonight Alive,The Other Side,191,46,201309,0,pop punk,48,338130,38,1
Castaway,Of Mice & Men,Tether,211,54,202310,0,"metalcore, post-hardcore, screamo, metal",61,1354909,20,1
Death Of An Executioner,Pierce The Veil,The Jaws Of Life,267,66,202302,0,"emo, screamo, post-hardcore",77,3583033,4,1
In Another Life (feat. Courtney LaPlante),Crown The Empire,DOGMA,225,48,202304,0,"metalcore, post-hardcore, screamo",53,563652,52,1
Fences,Paramore,Riot!,198,58,200706,0,"pop punk, emo",82,9474638,1,1
The News,Paramore,This Is Why,187,60,202302,0,"pop punk, emo",82,9474638,1,1
Hollow Points,Motionless In White,Scoring The End Of The World (Deluxe Edition),187,49,202309,1,"metalcore, metal, screamo",70,1910079,2,1
Johnny Ringo,Crown The Empire,Limitless,259,45,201111,1,"metalcore, post-hardcore, screamo",53,563652,52,1
Disguise,Motionless In White,Disguise,237,61,201906,1,"metalcore, metal, screamo",70,1910079,2,1
Feel Me Now,If Not For Me,Everything You Wanted,230,61,202403,0,metalcore,48,55150,76,1
Pool,Paramore,After Laughter,232,61,201705,0,"pop punk, emo",82,9474638,1,1
Body Bag,I Prevail,TRUE POWER,196,60,202208,1,metalcore,71,1744410,18,1
Escape Route,Paramore,Paramore (Deluxe Edition),177,46,201304,0,"pop punk, emo",82,9474638,1,1
Black Hole,We Came As Romans,Darkbloom,179,70,202210,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Entregador de Flor - Ao Vivo em Brasília,Diego & Victor Hugo,Diego & Victor Hugo Ao Vivo em Brasília,190,84,201907,0,"sertanejo, sertanejo universitário, arrocha, piseiro, agronejo",78,3499654,0,1
Over My Head (Better Off Dead),Sum 41,Does This Look Infected?,149,55,200201,1,"pop punk, punk, skate punk",73,4223025,25,1
Limits,Bad Omens,Finding God Before God Finds Me (Deluxe),207,70,202001,0,metalcore,74,1757840,8,1
"Go to Hell, for Heaven's Sake",Bring Me The Horizon,Sempiternal (Expanded Edition),243,64,201304,0,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
Paralyzed,The Used,Lies for the Liars,193,50,200705,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
DArkSide,Bring Me The Horizon,DArkSide,164,62,202310,1,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
Welcome To Horrorwood,Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,235,61,202110,1,"metalcore, metal",67,1112695,7,1
I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,186,80,200406,1,"emo, pop punk",81,9823059,31,1
Face Down,The Red Jumpsuit Apparatus,Don't You Fake It,192,79,200601,0,"pop punk, emo",65,1491980,9,1
Jaded,Spiritbox,Jaded,262,71,202308,0,"metalcore, djent, metal",69,915026,13,1
Obsolete,Of Mice & Men,Echo,265,60,202112,0,"metalcore, post-hardcore, screamo, metal",61,1354909,20,1
Contemptress,Motionless In White,Reincarnate,242,50,201409,1,"metalcore, metal, screamo",70,1910079,2,1
False Pretense,The Red Jumpsuit Apparatus,Don't You Fake It,149,68,200601,0,"pop punk, emo",65,1491980,9,1
The Webs We Weave,Escape the Fate,Dying Is Your Latest Fashion,173,55,200610,0,"emo, screamo, post-hardcore, metalcore",63,1427783,43,1
Kool-Aid,Bring Me The Horizon,Kool-Aid,228,62,202401,1,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
Kill The Noise,Papa Roach,Ego Trip,188,69,202204,1,"nu metal, rap metal, alternative metal, rap rock, rock",76,5850504,61,1
Props & Mayhem,Pierce The Veil,Collide With The Sky,217,65,201207,0,"emo, screamo, post-hardcore",77,3583033,4,1
Sick Little Games,First and Forever,Sick Little Games,200,50,202110,0,pop punk,46,55931,98,1
A Rash Decision,Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,211,52,202110,0,"metalcore, metal",67,1112695,7,1
Monsters,Currents,The Way It Ends,212,60,202006,1,"metalcore, djent, deathcore, metal",61,300692,73,1
crushcrushcrush,Paramore,Riot!,189,70,200706,0,"pop punk, emo",82,9474638,1,1
Circles,Pierce The Veil,Misadventures,224,71,201605,0,"emo, screamo, post-hardcore",77,3583033,4,1
Hold Me Now,Caskets,Lost Souls,239,60,202108,0,"metalcore, post-hardcore",61,209521,14,1
Still Waiting,Sum 41,Does This Look Infected?,158,67,200201,1,"pop punk, punk, skate punk",73,4223025,25,1
Paralyzed,Conquer Divide,Slow Burn,225,50,202309,0,metalcore,52,128936,33,1
Left Behind,The Plot In You,Vol. 1,206,71,202401,0,metalcore,66,545636,40,1
jump,Against The Current,fever,160,50,202107,0,pop punk,64,532952,12,1
Sweet Sacrifice,Evanescence,The Open Door,185,64,200601,0,alternative metal,78,5651192,30,1
No Reason,Sum 41,Chuck,184,63,200410,0,"pop punk, punk, skate punk",73,4223025,25,1
The Grey,Bad Omens,THE DEATH OF PEACE OF MIND,246,66,202202,0,metalcore,74,1757840,8,1
CONCRETE JUNGLE,Bad Omens,THE DEATH OF PEACE OF MIND,220,68,202202,1,metalcore,74,1757840,8,1
Tyrants,Sleeping With Sirens,Complete Collapse,205,42,202210,1,"emo, post-hardcore, screamo",68,2517462,5,1
Let 'em Burn,NOTHING MORE,The Stories We Tell Ourselves,235,65,201709,0,,67,545705,11,1
Rose-Colored Boy,Paramore,After Laughter,212,70,201705,0,"pop punk, emo",82,9474638,1,1
Divide,The Plot In You,Vol. 1,208,67,202401,1,metalcore,66,545636,40,1
Masochist,Polaris,The Death of Me,247,60,202002,1,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
Werewolf (feat. Bring Me The Horizon),Lil Uzi Vert,Pink Tape,239,59,202306,1,melodic rap,85,18900158,41,1
Choke,The Red Jumpsuit Apparatus,Am I the Enemy,170,46,201108,0,"pop punk, emo",65,1491980,9,1
Wildfire,Against The Current,Wildfire,166,54,202201,0,pop punk,64,532952,12,1
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),Bring Me The Horizon,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),189,58,202306,1,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
THE PURGE,In This Moment,GODMODE,239,53,202310,1,metal,63,1411114,39,1
Proof,Paramore,Paramore,195,54,201304,0,"pop punk, emo",82,9474638,1,1
Bloody Nose,The Used,Heartwork,184,35,202004,1,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
The Hell Song,Sum 41,Does This Look Infected?,198,62,200201,1,"pop punk, punk, skate punk",73,4223025,25,1
Am I The Enemy,The Red Jumpsuit Apparatus,Am I the Enemy,198,47,201108,0,"pop punk, emo",65,1491980,9,1
Better Off This Way,A Day To Remember,What Separates Me From You,206,60,201011,0,"metalcore, post-hardcore, pop punk, screamo, emo",72,2488997,27,1
Fallout,Sleep Theory,Fallout (Reimagined),197,61,202402,0,,67,299601,109,1
Kick Me,Sleeping With Sirens,Madness (Deluxe Edition),151,63,201503,0,"emo, post-hardcore, screamo",68,2517462,5,1
Fast in My Car,Paramore,Paramore,222,56,201304,0,"pop punk, emo",82,9474638,1,1
</c0de>,Motionless In White,Disguise,228,58,201906,0,"metalcore, metal, screamo",70,1910079,2,1
silent stranger,Against The Current,silent stranger,209,50,202309,0,pop punk,64,532952,12,1
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Clean Version),200,79,200601,0,"alternative metal, post-grunge, rock, hard rock",74,5021097,19,1
Brand New Numb,Motionless In White,Disguise,222,63,201906,1,"metalcore, metal, screamo",70,1910079,2,1
Anklebiters,Paramore,Paramore,137,54,201304,0,"pop punk, emo",82,9474638,1,1
Ctrl + Alt + Del,Sleeping With Sirens,Complete Collapse,185,38,202210,1,"emo, post-hardcore, screamo",68,2517462,5,1
The Remedy,Polaris,The Mortal Coil,243,63,201711,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
N E W H E A V E N,Conquer Divide,Slow Burn,198,39,202309,0,metalcore,52,128936,33,1
Playing God,Paramore,Brand New Eyes,182,65,200909,0,"pop punk, emo",82,9474638,1,1
"For a Pessimist, I'm Pretty Optimistic",Paramore,Riot!,228,57,200706,0,"pop punk, emo",82,9474638,1,1
Lose Myself,Caskets,Lost Souls,234,54,202108,0,"metalcore, post-hardcore",61,209521,14,1
Wasted Age,We Came As Romans,Cold Like War,226,56,201710,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Darkbloom,We Came As Romans,Darkbloom,224,60,202204,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Afterlife,Holding Absence,The Greatest Mistake of My Life,226,66,202104,0,"metalcore, post-hardcore, melodic hardcore",56,170202,145,1
Figure 8,Paramore,This Is Why,204,59,202302,0,"pop punk, emo",82,9474638,1,1
Atonement,Conquer Divide,Slow Burn,237,53,202309,1,metalcore,52,128936,33,1
Blow Me,The Used,Heartwork,200,37,202004,1,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Caught in the Middle,Paramore,After Laughter,214,65,201705,0,"pop punk, emo",82,9474638,1,1
Hip To Be Scared [Feat. Jacoby Shaddix],Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,203,64,202110,1,"metalcore, metal",67,1112695,7,1
Suffer,Get Scared,Demons,217,49,201510,0,"emo, metalcore, post-hardcore",58,764241,21,1
Inhumane,Polaris,Fatalism,239,57,202309,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
Call You Out,Flyleaf,New Horizons,139,55,201201,0,"christian rock, christian alternative rock, emo",64,1415610,15,1
This Is Why,Paramore,This Is Why,206,67,202302,0,"pop punk, emo",82,9474638,1,1
Porcelain,Motionless In White,Scoring The End Of The World,216,52,202206,1,"metalcore, metal, screamo",70,1910079,2,1
That's What You Get,Paramore,Riot!,220,72,200706,0,"pop punk, emo",82,9474638,1,1
blindfolded,Against The Current,blindfolded,199,53,202212,0,pop punk,64,532952,12,1
Headache,Motionless In White,Disguise,209,57,201906,1,"metalcore, metal, screamo",70,1910079,2,1
We're All To Blame,Sum 41,Chuck,218,62,200410,0,"pop punk, punk, skate punk",73,4223025,25,1
Agree to Disagree,Sleeping With Sirens,How It Feels to Be Lost (Deluxe),182,48,201909,0,"emo, post-hardcore, screamo",68,2517462,5,1
Fully Alive,Flyleaf,Flyleaf,154,64,200601,0,"christian rock, christian alternative rock, emo",64,1415610,15,1
Just Pretend,Bad Omens,THE DEATH OF PEACE OF MIND,204,79,202202,0,metalcore,74,1757840,8,1
Make A Move,Icon For Hire,Scripted,183,57,201101,0,christian rock,51,356148,22,1
Wasting Away,Tonight Alive,Consider This,170,42,201111,0,pop punk,48,338130,38,1
All of This Is Fleeting,Polaris,The Death of Me,236,61,202002,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
Stabbing In The Dark,Ice Nine Kills,The Silver Scream,276,61,201810,1,"metalcore, metal",67,1112695,7,1
system_failure,Conquer Divide,Slow Burn,258,47,202309,0,metalcore,52,128936,33,1
Nothing to Hide,Caskets,Lost Souls,259,54,202108,0,"metalcore, post-hardcore",61,209521,14,1
Numb,Sleep Theory,Numb,215,63,202303,0,,67,299601,109,1
Dead Inside,Future Palace,Run,204,52,202206,0,metalcore,47,87625,44,1
All My Life,Attack Attack!,"Long Time, No Sea (Expanded Edition)",184,54,202110,0,"metalcore, post-hardcore, screamo",52,274687,104,1
1984 (infinite jest),The Used,Heartwork,164,24,202004,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Lost in the Moment,We Came As Romans,Cold Like War,252,53,201710,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Hypermania,Polaris,The Death of Me,161,58,202002,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,With Ears To See And Eyes To Hear,219,2,201003,0,"emo, post-hardcore, screamo",68,2517462,5,1
I'm Low On Gas And You Need A Jacket,Pierce The Veil,Collide With The Sky,252,68,201207,1,"emo, screamo, post-hardcore",77,3583033,4,1
Emergency,Paramore,All We Know Is Falling,240,66,200507,0,"pop punk, emo",82,9474638,1,1
Waiting On the World to Change,John Mayer,Continuum,201,77,200609,0,singer-songwriter,79,6181996,16,1
Sick Like Me,In This Moment,Black Widow,299,59,201411,0,metal,63,1411114,39,1
Leave It All Behind,Sleeping With Sirens,How It Feels to Be Lost (Deluxe),198,56,201909,1,"emo, post-hardcore, screamo",68,2517462,5,1
Assault & Batteries,Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,208,56,202110,1,"metalcore, metal",67,1112695,7,1
Assassin,John Mayer,Battle Studies,314,53,200911,0,singer-songwriter,79,6181996,16,1
Idle Worship,Paramore,After Laughter,198,56,201705,0,"pop punk, emo",82,9474638,1,1
Break The Cycle,Motionless In White,Reincarnate,242,49,201409,1,"metalcore, metal, screamo",70,1910079,2,1
Contemptress: Reincarnated (Feat. Maria Brink),Motionless In White,Reincarnate: 10 Year Anniversary,243,46,202409,0,"metalcore, metal, screamo",70,1910079,2,1
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),157,86,200010,0,"nu metal, rap metal, rock, alternative metal",91,30373947,23,1
Learning to Survive,We Came As Romans,Cold Like War,269,65,201710,0,"metalcore, post-hardcore, screamo",64,918355,35,1
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,Three Cheers for Sweet Revenge,173,69,200406,1,"emo, pop punk",81,9823059,31,1
Texas Is Forever,Pierce The Veil,Misadventures,219,60,201605,1,"emo, screamo, post-hardcore",77,3583033,4,1
Fool’s Gold,Motionless In White,Scoring The End Of The World (Deluxe Edition),233,47,202309,0,"metalcore, metal, screamo",70,1910079,2,1
The Lottery,The Used,Heartwork,164,26,202004,1,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Shame On Me,Catch Your Breath,Shame On Me,201,72,202310,0,metalcore,64,216967,72,1
IDWT$,Bad Omens,THE DEATH OF PEACE OF MIND,202,60,202202,0,metalcore,74,1757840,8,1
Reap,The Red Jumpsuit Apparatus,Am I the Enemy,202,30,201108,0,"pop punk, emo",65,1491980,9,1
Heartbreak Warfare,John Mayer,Battle Studies,269,67,200911,0,singer-songwriter,79,6181996,16,1
Given Up,Linkin Park,Minutes to Midnight,189,81,200705,1,"nu metal, rap metal, rock, alternative metal",91,30373947,23,1
Screaming Bloody Murder,Sum 41,Screaming Bloody Murder,204,55,201101,0,"pop punk, punk, skate punk",73,4223025,25,1
Cold Like War,We Came As Romans,Cold Like War,226,59,201710,0,"metalcore, post-hardcore, screamo",64,918355,35,1
Told You So,Paramore,After Laughter,188,64,201705,0,"pop punk, emo",82,9474638,1,1
"Give 'Em Hell, Kid",My Chemical Romance,Three Cheers for Sweet Revenge,138,65,200406,0,"emo, pop punk",81,9823059,31,1
Cold,Dark Divine,Deadly Fun,221,54,202309,0,metalcore,49,58371,51,1
One More Time,Caskets,Lost Souls,242,52,202108,0,"metalcore, post-hardcore",61,209521,14,1
Let You Down (feat. Charlotte Sands),Sleeping With Sirens,Complete Collapse,205,48,202210,0,"emo, post-hardcore, screamo",68,2517462,5,1
Grudges,Paramore,After Laughter,187,53,201705,0,"pop punk, emo",82,9474638,1,1
Gravity's Rainbow,The Used,Heartwork,254,25,202004,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
All I Want,A Day To Remember,What Separates Me From You,202,70,201011,0,"metalcore, post-hardcore, pop punk, screamo, emo",72,2488997,27,1
Sour,Yours Truly,TOXIC,165,41,202408,0,pop punk,44,92460,60,1
Reincarnate: Reincarnated,Motionless In White,Reincarnate: 10 Year Anniversary,216,46,202409,1,"metalcore, metal, screamo",70,1910079,2,1
Blood & Water,Memphis May Fire,Make Believe,230,22,202202,0,"metalcore, post-hardcore, screamo",62,924053,28,1
Knives and Pens,Black Veil Brides,We Stitch These Wounds,255,63,201007,0,"emo, screamo",63,2089188,99,1
By The Sound,Caskets,Reflections,222,53,202308,0,"metalcore, post-hardcore",61,209521,14,1
Lucid,Polaris,The Mortal Coil,239,57,201711,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
Bow Down,I Prevail,TRAUMA,242,69,201903,1,metalcore,71,1744410,18,1
Calm Snow,I See Stars,Treehouse,191,56,201606,0,"metalcore, post-hardcore, screamo, deathstep",54,497184,70,1
Black Wedding,TX2,Burn,149,54,202401,1,emo,58,317020,88,1
Decode,Paramore,Decode,261,78,200811,0,"pop punk, emo",82,9474638,1,1
I Caught Fire,The Used,In Love and Death,205,60,200409,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Seeing Red,Architects,Seeing Red,220,33,202312,1,"metalcore, djent, mathcore, metal, post-hardcore, deathcore",69,1172189,45,1
Unbreakable,Of Mice & Men,Defy,244,54,201801,0,"metalcore, post-hardcore, screamo, metal",61,1354909,20,1
TIRED OF WINNING,NOTHING MORE,SPIRITS,206,47,202210,0,,67,545705,11,1
Thoughts & Prayers,Motionless In White,Disguise,240,62,201906,1,"metalcore, metal, screamo",70,1910079,2,1
Running with the Wild Things,Against The Current,In Our Bones,222,44,201605,0,pop punk,64,532952,12,1
Burn The Witch,Dark Divine,Deadly Fun (Deluxe Edition),200,47,202410,1,metalcore,49,58371,51,1
Part II,Paramore,Paramore,281,56,201304,0,"pop punk, emo",82,9474638,1,1
THE DEATH OF PEACE OF MIND,Bad Omens,THE DEATH OF PEACE OF MIND,241,78,202202,1,metalcore,74,1757840,8,1
Crosses (feat. Spencer Chamberlain of Underoath),Sleeping With Sirens,Complete Collapse,209,47,202210,1,"emo, post-hardcore, screamo",68,2517462,5,1
Pressure,Paramore,All We Know Is Falling,185,72,200507,0,"pop punk, emo",82,9474638,1,1
Drown,Dark Divine,Deadly Fun,208,47,202309,1,metalcore,49,58371,51,1
Paradise,Future Palace,Run,208,49,202206,0,metalcore,47,87625,44,1
Memory,Sugarcult,Palm Trees and Power Lines,226,68,200404,0,"pop punk, punk, emo",55,309941,171,1
All Signs Point To Lauderdale,A Day To Remember,What Separates Me From You,197,69,201011,1,"metalcore, post-hardcore, pop punk, screamo, emo",72,2488997,27,1
The Ripper,The Used,Lies for the Liars,176,42,200705,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Bite Your Tongue,Attila,Bite Your Tongue,198,52,202304,0,"deathcore, metalcore, rap metal, screamo, metal",53,513618,159,1
The Only Ones,Caskets,Lost Souls,300,53,202108,0,"metalcore, post-hardcore",61,209521,14,1
Whore,Get Scared,Best Kind Of Mess,176,57,201001,1,"emo, metalcore, post-hardcore",58,764241,21,1
1x1 (feat. Nova Twins),Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,209,69,202010,1,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
Get Well,Icon For Hire,Scripted,177,48,201101,0,christian rock,51,356148,22,1
Sun Killer,Spiritbox,Eternal Blue,227,69,202109,0,"metalcore, djent, metal",69,915026,13,1
Today I Saw The Whole World,Pierce The Veil,Misadventures,221,67,201605,0,"emo, screamo, post-hardcore",77,3583033,4,1
Now,Paramore,Paramore,250,55,201304,0,"pop punk, emo",82,9474638,1,1
A Little Faster,There For Tomorrow,A Little Faster,184,58,200906,0,,43,67270,257,1
"Paradise Lost, a poem by John Milton",The Used,Heartwork,167,40,202004,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Pulling Teeth,Of Mice & Men,Echo,202,54,202112,0,"metalcore, post-hardcore, screamo, metal",61,1354909,20,1
Blessed Be,Spiritbox,Blessed Be,245,61,202002,0,"metalcore, djent, metal",69,915026,13,1
Blameless,If Not For Me,Everything You Wanted,193,52,202403,0,metalcore,48,55150,76,1
Broken Pieces,Apocalyptica,7th Symphony,234,60,201008,0,symphonic metal,64,1129930,148,1
Savior,Rise Against,Appeal To Reason,242,81,200801,0,"punk, hardcore punk",73,2894836,68,1
Jessica Kill,Sum 41,Screaming Bloody Murder,170,51,201101,0,"pop punk, punk, skate punk",73,4223025,25,1
Blood,Breaking Benjamin,Ember,189,64,201804,1,"alternative metal, post-grunge, rock, hard rock",74,5021097,19,1
The Sharpest Lives,My Chemical Romance,The Black Parade,200,69,200610,0,"emo, pop punk",81,9823059,31,1
America,Motionless In White,Infamous,217,51,201211,1,"metalcore, metal, screamo",70,1910079,2,1
Consume,Polaris,The Mortal Coil,251,52,201711,0,"metalcore, djent, metal, deathcore, post-hardcore",61,375471,29,1
